#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Name","Group","Action","Enabled","Profile"
"vm-monitoring-dcom","@icsvc.dll,-700","Allow","False","Any"
"vm-monitoring-icmpv4","@icsvc.dll,-700","Allow","False","Any"
"vm-monitoring-icmpv6","@icsvc.dll,-700","Allow","False","Any"
"vm-monitoring-nb-session","@icsvc.dll,-700","Allow","False","Any"
"vm-monitoring-rpc","@icsvc.dll,-700","Allow","False","Any"
"WMP-In-UDP-x86","@FirewallAPI.dll,-31002","Allow","False","Any"
"WMP-Out-UDP-x86","@FirewallAPI.dll,-31002","Allow","False","Any"
"WMP-Out-TCP-x86","@FirewallAPI.dll,-31002","Allow","False","Any"
"WMP-In-UDP","@FirewallAPI.dll,-31002","Allow","False","Any"
"WMP-Out-UDP","@FirewallAPI.dll,-31002","Allow","False","Any"
"WMP-Out-TCP","@FirewallAPI.dll,-31002","Allow","False","Any"
"SNMPTRAP-In-UDP","@snmptrap.exe,-3","Allow","False","Private, Public"
"SNMPTRAP-In-UDP-NoScope","@snmptrap.exe,-3","Allow","False","Domain"
"Wininit-Shutdown-In-Rule-TCP-RPC","@firewallapi.dll,-36751","Allow","False","Any"
"Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper","@firewallapi.dll,-36751","Allow","False","Any"
"Microsoft-Windows-Unified-Telemetry-Client","DiagTrack","Allow","True","Any"
"PNRPMNRS-PNRP-In-UDP","@FirewallAPI.dll,-34002","Allow","False","Any"
"PNRPMNRS-PNRP-Out-UDP","@FirewallAPI.dll,-34002","Allow","False","Any"
"PNRPMNRS-SSDPSrv-In-UDP","@FirewallAPI.dll,-34002","Allow","False","Any"
"PNRPMNRS-SSDPSrv-Out-UDP","@FirewallAPI.dll,-34002","Allow","False","Any"
"EventForwarder-In-TCP","@FirewallAPI.dll,-36801","Allow","False","Any"
"EventForwarder-RPCSS-In-TCP","@FirewallAPI.dll,-36801","Allow","False","Any"
"MsiScsi-In-TCP-NoScope","@FirewallAPI.dll,-29002","Allow","False","Domain"
"MsiScsi-Out-TCP-NoScope","@FirewallAPI.dll,-29002","Allow","False","Domain"
"MsiScsi-In-TCP","@FirewallAPI.dll,-29002","Allow","False","Private, Public"
"MsiScsi-Out-TCP","@FirewallAPI.dll,-29002","Allow","False","Private, Public"
"RemoteFwAdmin-In-TCP-NoScope","@FirewallAPI.dll,-30002","Allow","False","Domain"
"RemoteFwAdmin-RPCSS-In-TCP-NoScope","@FirewallAPI.dll,-30002","Allow","False","Domain"
"RemoteFwAdmin-In-TCP","@FirewallAPI.dll,-30002","Allow","False","Private, Public"
"RemoteFwAdmin-RPCSS-In-TCP","@FirewallAPI.dll,-30002","Allow","False","Private, Public"
"AllJoyn-Router-In-TCP","@FirewallAPI.dll,-37002","Allow","True","Domain, Private"
"AllJoyn-Router-Out-TCP","@FirewallAPI.dll,-37002","Allow","True","Domain, Private"
"AllJoyn-Router-In-UDP","@FirewallAPI.dll,-37002","Allow","True","Domain, Private"
"AllJoyn-Router-Out-UDP","@FirewallAPI.dll,-37002","Allow","True","Domain, Private"
"ProximityUxHost-Sharing-In-TCP-NoScope","@FirewallAPI.dll,-36251","Allow","True","Any"
"ProximityUxHost-Sharing-Out-TCP-NoScope","@FirewallAPI.dll,-36251","Allow","True","Any"
"Netlogon-NamedPipe-In","@netlogon.dll,-1010","Allow","False","Any"
"Netlogon-TCP-RPC-In","@netlogon.dll,-1010","Allow","False","Any"
"NETDIS-UPnPHost-In-TCP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-UPnPHost-Out-TCP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-NB_Name-In-UDP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-NB_Name-Out-UDP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-NB_Datagram-In-UDP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-NB_Datagram-Out-UDP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-WSDEVNTS-In-TCP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-WSDEVNTS-Out-TCP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-WSDEVNT-In-TCP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-WSDEVNT-Out-TCP-NoScope","@FirewallAPI.dll,-32752","Allow","False","Domain"
"NETDIS-SSDPSrv-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-SSDPSrv-Out-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-UPnPHost-In-TCP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-UPnPHost-Out-TCP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-UPnP-Out-TCP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-NB_Name-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-NB_Name-Out-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-NB_Datagram-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-NB_Datagram-Out-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-FDPHOST-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-DAS-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-FDPHOST-Out-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-LLMNR-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-LLMNR-Out-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-FDRESPUB-WSD-In-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-FDRESPUB-WSD-Out-UDP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-WSDEVNTS-In-TCP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
"NETDIS-WSDEVNTS-Out-TCP-Active","@FirewallAPI.dll,-32752","Allow","True","Private"
