#TYPE Microsoft.Management.Infrastructure.CimInstance#root/standardcimv2/MSFT_NetProtocolPortFilter
"Protocol","LocalPort","RemotePort","IcmpType","DynamicTarget","DynamicTransport","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","CreationClassName","IsNegated","SystemCreationClassName","SystemName","PSComputerName"
"ICMPv6","Any","Any","Any","Any","Any",,,"","vm-monitoring-icmpv6",,,,,"",,,,,,"MSFT|FW|FirewallRule|vm-monitoring-icmpv6",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMP-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMP-Out-TCP",,"","",
"UDP","Any","Any","Any","Any","Any",,,"","WMP-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMP-In-UDP",,"","",
"TCP","139","Any","Any","Any","Any",,,"","vm-monitoring-nb-session",,,,,"",,,,,,"MSFT|FW|FirewallRule|vm-monitoring-nb-session",,"","",
"TCP","RPC","Any","Any","Any","Any",,,"","vm-monitoring-rpc",,,,,"",,,,,,"MSFT|FW|FirewallRule|vm-monitoring-rpc",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMP-Out-TCP-x86",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMP-Out-TCP-x86",,"","",
"TCP","135","Any","Any","Any","Any",,,"","vm-monitoring-dcom",,,,,"",,,,,,"MSFT|FW|FirewallRule|vm-monitoring-dcom",,"","",
"UDP","Any","Any","Any","Any","Any",,,"","WMP-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMP-Out-UDP",,"","",
"UDP","162","Any","Any","Any","Any",,,"","SNMPTRAP-In-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|SNMPTRAP-In-UDP-NoScope",,"","",
"UDP","Any","Any","Any","Any","Any",,,"","WMP-In-UDP-x86",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMP-In-UDP-x86",,"","",
"TCP","RPCEPMap","Any","Any","Any","Any",,,"","Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper",,,,,"",,,,,,"MSFT|FW|FirewallRule|Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper",,"","",
"TCP","RPC","Any","Any","Any","Any",,,"","Wininit-Shutdown-In-Rule-TCP-RPC",,,,,"",,,,,,"MSFT|FW|FirewallRule|Wininit-Shutdown-In-Rule-TCP-RPC",,"","",
"UDP","162","Any","Any","Any","Any",,,"","SNMPTRAP-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|SNMPTRAP-In-UDP",,"","",
